ID,Type,Name,Count
1304,A,Doll,37298
1305,-,Doll,15
1306,N,Free,3
1307,A,Sony,6
1308,-,Free,13
1309,C,Apple,3000000
1310,N,Free,6
1311,N,Openmpi,23912
1312,C,Photo,14
1313,C,Photo,1
1314,A,Python,3000000
1315,A,Apple,3000000
1316,-,Doll,12
1317,A,Python,10
1318,-,Python,8
1319,A,Camera,6
1320,B,Openmpi,14
1321,N,Photo,23912
1322,C,Sony,13
1323,N,Fantacy,12
1324,B,Sony,12
1325,A,Fantacy,12
1326,-,Photo,37298
1327,N,Book,8
1328,B,Openmpi,7
1329,N,Sony,66351737
1330,A,Photo,1
1331,C,Doll,1
1332,-,Openmpi,3000000
1333,N,Camera,6
1334,-,Sony,37298
1335,B,Apple,10
1336,A,Photo,2
1337,-,Python,23912
1338,B,Doll,11
1339,N,Doll,3000000
1340,-,Python,13
1341,N,Free,13
1342,N,Free,9
1343,-,Book,23912
1344,A,Sony,15
1345,N,Free,15
1346,C,Apple,2
1347,A,Book,11
1348,N,Doll,3
1349,B,Apple,2
1350,-,Free,14
1351,-,Apple,15
1352,B,Free,37298
1353,-,Doll,7
1354,A,Book,10
1355,N,Openmpi,5
1356,N,Python,1092109
1357,-,Openmpi,12
1358,N,Fantacy,37298
1359,N,Sony,2
1360,B,Apple,2
1361,A,Openmpi,1
1362,-,Apple,37298
1363,C,Free,23912
1364,N,Doll,66351737
1365,-,Photo,15
1366,C,Fantacy,10
1367,A,Openmpi,2
1368,N,Python,3000000
1369,A,Free,12
1370,B,Sony,13
1371,N,Sony,23912
1372,N,Fantacy,6
1373,A,Book,8
1374,C,Fantacy,5
1375,C,Doll,37298
1376,N,Python,9
1377,N,Sony,1092109
1378,B,Python,5
1379,N,Camera,8
1380,-,Openmpi,1
1381,B,Doll,1
1382,C,Apple,15
1383,N,Sony,9
1384,C,Book,8
1385,N,Fantacy,4
1386,B,Openmpi,9
1387,N,Sony,2
1388,A,Sony,10
1389,-,Doll,6
1390,-,Book,37298
1391,-,Photo,37298
1392,N,Python,3
1393,A,Photo,10
1394,N,Book,10
1395,-,Camera,12
1396,A,Camera,15
1397,C,Free,1092109
1398,N,Doll,7
1399,C,Python,12
1400,B,Sony,6
1401,B,Doll,2
1402,B,Camera,6
1403,C,Apple,3000000
1404,C,Sony,1
1405,C,Sony,2
1406,B,Doll,5
1407,B,Camera,6
1408,C,Photo,4
1409,C,Camera,10
1410,A,Fantacy,11
1411,N,Python,5
1412,A,Python,5
1413,A,Free,3
1414,N,Python,66351737
1415,A,Sony,1092109
1416,N,Sony,3000000
1417,B,Camera,6
1418,B,Doll,8
1419,A,Apple,14
1420,A,Sony,3
1421,A,Book,4
1422,C,Sony,37298
1423,C,Book,66351737
1424,N,Sony,2
1425,C,Doll,5
1426,A,Python,12
1427,N,Photo,23912
1428,N,Apple,9
1429,B,Openmpi,11
1430,A,Fantacy,14
1431,A,Photo,1092109
1432,C,Sony,23912
1433,-,Free,7
1434,A,Apple,66351737
1435,N,Apple,66351737
1436,-,Openmpi,6
1437,B,Free,11
1438,N,Openmpi,12
1439,A,Free,23912
1440,C,Free,10
1441,N,Python,3
1442,N,Sony,2
1443,C,Apple,4
1444,B,Book,12
1445,A,Fantacy,5
1446,C,Sony,9
1447,-,Sony,12
1448,A,Doll,13
1449,-,Book,23912
1450,N,Camera,13
1451,B,Python,23912
1452,B,Openmpi,3
1453,C,Photo,3
1454,N,Sony,8
1455,-,Sony,7
1456,N,Camera,23912
1457,N,Book,8
1458,-,Python,6
1459,-,Photo,3
1460,-,Sony,66351737
1461,A,Python,4
1462,A,Python,11
1463,B,Openmpi,14
1464,C,Apple,11
1465,N,Apple,10
1466,N,Book,4
1467,-,Fantacy,23912
1468,A,Free,1092109
1469,N,Photo,12
1470,-,Python,11
1471,C,Fantacy,37298
1472,N,Apple,1092109
1473,-,Photo,6
1474,A,Apple,11
1475,C,Fantacy,4
1476,B,Doll,12
1477,C,Openmpi,37298
1478,N,Apple,5
1479,N,Python,66351737
1480,-,Free,3
1481,A,Openmpi,10
1482,C,Doll,5
1483,N,Sony,6
1484,-,Doll,12
1485,N,Python,2
1486,N,Fantacy,5
1487,-,Free,3
1488,A,Python,5
1489,B,Fantacy,37298
1490,A,Apple,7
1491,-,Fantacy,5
1492,-,Free,5
1493,A,Book,23912
1494,C,Book,9
1495,C,Python,13
1496,B,Apple,12
1497,-,Python,1092109
1498,N,Python,12
1499,C,Book,3000000
1500,C,Python,37298
1501,C,Python,66351737
1502,C,Fantacy,4
1503,-,Sony,15
1504,C,Book,6
1505,B,Fantacy,4
1506,A,Book,4
1507,A,Apple,1
1508,C,Free,6
1509,B,Sony,6
1510,C,Openmpi,2
1511,-,Book,14
1512,B,Apple,3
1513,C,Book,10
1514,N,Doll,9
1515,C,Openmpi,4
1516,-,Apple,8
1517,-,Doll,1092109
1518,B,Fantacy,5
1519,A,Sony,5
1520,A,Free,6
1521,N,Apple,8
1522,B,Python,13
1523,B,Openmpi,11
1524,C,Book,7
1525,C,Python,15
1526,N,Openmpi,2
1527,N,Python,2
1528,C,Openmpi,8
1529,N,Free,12
1530,-,Python,1092109
1531,-,Apple,3000000
1532,N,Camera,8
1533,C,Apple,2
1534,B,Doll,15
1535,A,Apple,14
1536,C,Photo,15
1537,N,Camera,37298
1538,A,Photo,1092109
1539,A,Apple,5
1540,C,Fantacy,7
1541,C,Fantacy,37298
1542,A,Free,5
1543,N,Python,9
1544,B,Doll,13
1545,B,Photo,3
1546,A,Openmpi,10
1547,B,Fantacy,6
1548,B,Openmpi,2
1549,A,Book,12
1550,N,Book,23912
1551,-,Free,1
1552,A,Camera,4
1553,N,Camera,12
1554,A,Doll,2
1555,C,Photo,4
1556,C,Photo,37298
1557,N,Doll,8
1558,-,Openmpi,11
1559,A,Python,10
1560,A,Python,13
1561,C,Sony,5
1562,A,Doll,66351737
1563,A,Book,3000000
1564,N,Openmpi,14
1565,A,Photo,4
1566,C,Sony,37298
1567,N,Camera,14
1568,C,Apple,5
1569,-,Sony,1092109
1570,A,Python,10
1571,-,Openmpi,1
1572,C,Camera,23912
1573,A,Doll,15
1574,N,Photo,14
1575,A,Python,15
1576,C,Sony,4
1577,-,Photo,6
1578,C,Apple,5
1579,C,Fantacy,14
1580,B,Camera,3000000
1581,A,Fantacy,7
1582,N,Python,4
1583,-,Photo,12
1584,-,Free,14
1585,B,Camera,11
1586,N,Doll,8
1587,-,Doll,2
1588,C,Camera,5
1589,C,Python,7
1590,B,Free,14
1591,-,Book,8
1592,N,Doll,5
1593,B,Openmpi,66351737
1594,A,Openmpi,14
1595,N,Apple,37298
1596,C,Openmpi,8
1597,A,Python,9
1598,A,Openmpi,1092109
1599,C,Python,6
1600,B,Camera,11
1601,A,Free,7
1602,B,Fantacy,14
1603,C,Python,23912
1604,-,Sony,9
1605,B,Openmpi,1
1606,A,Free,5
1607,N,Sony,15
1608,A,Apple,1092109
1609,A,Apple,3000000
1610,C,Free,14
1611,-,Openmpi,7
1612,C,Camera,37298
1613,C,Openmpi,11
1614,N,Openmpi,9
1615,A,Doll,23912
1616,C,Doll,11
1617,A,Sony,3
1618,B,Book,1092109
1619,N,Photo,3
1620,B,Camera,23912
1621,-,Free,1092109
1622,N,Openmpi,7
1623,B,Free,1
1624,B,Photo,13
1625,N,Python,2
1626,-,Doll,7
1627,N,Camera,23912
1628,C,Sony,23912
1629,-,Python,1
1630,C,Free,23912
1631,C,Openmpi,14
1632,B,Doll,12
1633,A,Sony,37298
1634,A,Doll,1092109
1635,A,Photo,3000000
1636,B,Free,1092109
1637,C,Python,10
1638,A,Sony,3
1639,C,Book,23912
1640,-,Camera,6
1641,B,Openmpi,7
1642,A,Fantacy,8
1643,B,Apple,12
1644,-,Doll,2
1645,-,Openmpi,1
1646,N,Apple,10
1647,-,Openmpi,4
1648,A,Openmpi,3000000
1649,A,Free,10
1650,C,Fantacy,10
1651,B,Photo,13
1652,C,Apple,66351737
1653,B,Doll,1092109
1654,N,Free,8
1655,N,Doll,3
1656,-,Free,5
1657,N,Camera,37298
1658,C,Python,12
1659,-,Book,3
1660,B,Fantacy,6
1661,B,Openmpi,1092109
1662,-,Python,13
1663,N,Free,2
1664,N,Free,15
1665,B,Openmpi,66351737
1666,N,Free,13
1667,A,Python,1092109
1668,N,Book,8
1669,B,Fantacy,7
1670,N,Openmpi,8
1671,N,Doll,6
1672,B,Doll,14
1673,B,Apple,11
1674,A,Photo,12
1675,C,Fantacy,23912
1676,N,Sony,2
1677,-,Fantacy,13
1678,-,Camera,3
1679,B,Sony,8
1680,B,Photo,4
1681,-,Free,4
1682,C,Free,14
1683,C,Book,15
1684,C,Camera,66351737
1685,C,Free,5
1686,N,Free,3
1687,A,Fantacy,4
1688,C,Photo,11
1689,-,Fantacy,3000000
1690,-,Photo,14
1691,A,Openmpi,1092109
1692,-,Openmpi,6
1693,B,Book,3
1694,N,Camera,10
1695,B,Book,7
1696,C,Free,2
1697,A,Book,3000000
1698,B,Camera,13
1699,N,Apple,3
1700,A,Book,2
1701,N,Doll,3000000
1702,B,Camera,6
1703,C,Apple,6
1704,C,Book,9
1705,N,Apple,1
1706,A,Free,66351737
1707,-,Python,10
1708,C,Camera,37298
1709,A,Doll,66351737
1710,N,Photo,3000000
1711,A,Free,3
1712,B,Book,1092109
1713,B,Sony,1
1714,-,Python,14
1715,C,Photo,23912
1716,A,Fantacy,1
1717,B,Sony,9
1718,N,Book,23912
1719,C,Camera,15
1720,B,Book,9
1721,A,Python,2
1722,A,Camera,14
1723,C,Free,11
1724,B,Apple,5
1725,A,Python,11
1726,C,Camera,14
1727,N,Openmpi,10
1728,A,Doll,10
1729,N,Fantacy,1
1730,B,Fantacy,10
1731,A,Free,6
1732,B,Openmpi,12
1733,N,Free,12
1734,-,Sony,37298
1735,N,Free,3000000
1736,N,Book,10
1737,-,Openmpi,8
1738,C,Apple,13
1739,B,Photo,1092109
1740,C,Python,9
1741,N,Sony,4
1742,A,Book,8
1743,B,Free,8
1744,B,Book,4
1745,C,Photo,12
1746,C,Free,5
1747,C,Python,3000000
1748,C,Apple,1
1749,C,Camera,14
1750,C,Free,14
1751,A,Camera,66351737
1752,N,Photo,2
1753,B,Photo,5
1754,A,Openmpi,4
1755,-,Camera,9
1756,C,Sony,23912
1757,N,Book,4
1758,-,Sony,12
1759,N,Python,6
1760,N,Openmpi,3
1761,-,Photo,37298
1762,-,Camera,6
1763,N,Camera,13
1764,A,Apple,8
1765,N,Openmpi,10
1766,A,Sony,6
1767,N,Sony,13
1768,B,Apple,10
1769,A,Fantacy,3
1770,-,Apple,1092109
1771,-,Python,1
1772,C,Openmpi,1092109
1773,B,Camera,23912
1774,-,Free,14
1775,-,Doll,2
1776,C,Openmpi,5
1777,A,Camera,14
1778,C,Sony,7
1779,C,Camera,1
1780,B,Free,3
1781,N,Openmpi,1092109
1782,-,Book,10
1783,A,Sony,37298
1784,A,Free,9
1785,B,Apple,23912
1786,-,Doll,2
1787,N,Sony,10
1788,N,Openmpi,3000000
1789,B,Sony,23912
1790,B,Camera,2
1791,B,Python,10
1792,B,Openmpi,3
1793,A,Python,37298
1794,A,Free,11
1795,A,Camera,13
1796,N,Python,4
1797,-,Fantacy,6
1798,-,Photo,3000000
1799,N,Doll,6
1800,B,Apple,12
1801,-,Python,12
1802,A,Camera,66351737
1803,N,Book,7
1804,-,Sony,6
1805,C,Apple,9
1806,-,Apple,2
1807,A,Openmpi,3
1808,N,Book,15
1809,A,Camera,10
1810,-,Apple,66351737
1811,A,Free,9
1812,C,Python,66351737
1813,B,Photo,66351737
1814,A,Doll,14
1815,B,Doll,11
1816,C,Sony,37298
1817,C,Camera,15
1818,-,Camera,3000000
1819,C,Photo,6
1820,C,Free,66351737
1821,B,Apple,66351737
1822,C,Python,11
1823,B,Book,12
1824,B,Apple,14
1825,B,Photo,1
1826,C,Doll,10
1827,C,Photo,7
1828,B,Apple,7
1829,A,Fantacy,9
1830,A,Sony,1
1831,C,Openmpi,12
1832,C,Book,3
1833,B,Photo,15
1834,-,Camera,11
1835,B,Openmpi,10
1836,B,Free,7
1837,C,Sony,14
1838,B,Free,9
1839,N,Apple,37298
1840,A,Book,1092109
1841,B,Book,15
1842,B,Camera,11
1843,B,Book,10
1844,C,Book,1092109
1845,B,Python,3000000
1846,B,Openmpi,1
1847,N,Camera,5
1848,A,Free,14
1849,C,Camera,6
1850,N,Python,66351737
1851,C,Sony,1
1852,N,Photo,66351737
1853,-,Photo,8
1854,C,Python,9
1855,B,Fantacy,37298
1856,C,Apple,37298
1857,N,Book,23912
1858,-,Photo,15
1859,-,Doll,3
1860,C,Free,15
1861,-,Apple,4
1862,-,Openmpi,6
1863,C,Free,23912
1864,-,Apple,66351737
1865,C,Openmpi,13
1866,A,Openmpi,8
1867,C,Camera,12
1868,C,Photo,12
1869,-,Python,13
1870,A,Fantacy,1092109
1871,N,Python,8
1872,C,Book,37298
1873,B,Photo,66351737
1874,A,Photo,12
1875,-,Fantacy,15
1876,A,Openmpi,5
1877,C,Sony,37298
1878,C,Doll,1092109
1879,B,Python,1092109
1880,C,Fantacy,9
1881,C,Book,3
1882,N,Camera,3
1883,-,Sony,3
1884,C,Doll,8
1885,N,Fantacy,15
1886,B,Python,4
1887,B,Apple,4
1888,B,Photo,12
1889,C,Doll,15
1890,B,Photo,37298
1891,C,Free,7
1892,A,Sony,37298
1893,N,Book,13
1894,N,Python,15
1895,-,Photo,12
1896,A,Apple,66351737
1897,A,Doll,3
1898,N,Photo,5
1899,A,Book,4
1900,C,Python,23912
1901,A,Apple,5
1902,N,Book,6
1903,A,Doll,15
1904,A,Photo,7
1905,C,Python,15
1906,-,Apple,10
1907,C,Sony,13
1908,A,Sony,8
1909,C,Free,4
1910,A,Photo,7
1911,N,Photo,2
1912,B,Fantacy,12
1913,C,Apple,2
1914,A,Free,7
1915,B,Apple,6
1916,C,Sony,23912
1917,C,Photo,11
1918,-,Apple,13
1919,C,Apple,7
1920,B,Python,13
1921,A,Doll,15
1922,B,Doll,23912
1923,-,Python,3000000
1924,N,Sony,13
1925,-,Python,9
1926,A,Apple,7
1927,B,Free,66351737
1928,N,Sony,8
1929,C,Doll,4
1930,-,Doll,9
1931,C,Openmpi,37298
1932,-,Python,13
1933,A,Fantacy,37298
1934,B,Python,2
1935,-,Python,15
1936,N,Doll,12
1937,A,Python,3
1938,B,Apple,15
1939,C,Photo,66351737
1940,-,Sony,10
1941,-,Camera,8
1942,A,Python,9
1943,-,Fantacy,1
1944,N,Apple,37298
1945,C,Photo,1
1946,A,Fantacy,14
1947,N,Doll,5
1948,C,Photo,13
1949,-,Photo,12
1950,A,Fantacy,66351737
1951,B,Photo,8
1952,B,Sony,9
1953,-,Free,11
1954,B,Openmpi,1092109
1955,-,Doll,12
1956,N,Openmpi,66351737
1957,B,Sony,8
1958,C,Photo,11
1959,C,Fantacy,5
1960,-,Camera,7
1961,A,Book,4
1962,N,Free,15
1963,A,Apple,9
1964,N,Openmpi,13
1965,-,Fantacy,9
1966,C,Python,10
1967,-,Free,3000000
1968,C,Free,12
1969,C,Camera,6
1970,N,Sony,4
1971,A,Fantacy,4
1972,N,Free,10
1973,-,Apple,15
1974,C,Book,10
1975,A,Python,7
1976,C,Doll,8
1977,-,Book,23912
1978,-,Python,13
1979,A,Apple,11
1980,-,Sony,14
1981,A,Camera,15
1982,C,Sony,66351737
1983,C,Sony,3000000
1984,B,Book,6
1985,N,Camera,9
1986,N,Python,66351737
1987,B,Free,11
1988,-,Sony,1
1989,B,Camera,3
1990,N,Openmpi,1092109
1991,N,Openmpi,66351737
1992,N,Doll,5
1993,-,Free,23912
1994,-,Doll,5
1995,B,Openmpi,4
1996,N,Sony,4
1997,N,Python,4
1998,N,Python,3
1999,B,Camera,12
2000,B,Free,1
2001,A,Python,14
2002,A,Doll,1
2003,B,Photo,11
2004,-,Photo,6
2005,C,Free,14
2006,B,Fantacy,7
2007,-,Camera,3000000
2008,C,Python,2
2009,-,Sony,11
2010,-,Sony,2
2011,C,Openmpi,7
2012,C,Free,5
2013,A,Free,9
2014,B,Doll,2
2015,B,Apple,7
2016,A,Sony,9
2017,N,Apple,15
2018,C,Fantacy,1092109
2019,B,Fantacy,3000000
2020,A,Fantacy,2
2021,-,Photo,11
2022,C,Apple,14
2023,-,Doll,3
2024,A,Doll,3
2025,N,Doll,3000000
2026,A,Apple,1
2027,-,Fantacy,1
2028,B,Photo,3
2029,N,Photo,9
2030,B,Apple,1092109
2031,C,Book,3
2032,A,Book,1092109
2033,C,Camera,13
2034,C,Openmpi,5
2035,C,Camera,4
2036,A,Openmpi,12
2037,C,Fantacy,23912
2038,B,Openmpi,6
2039,B,Doll,9
2040,A,Free,14
2041,C,Python,7
2042,N,Book,14
2043,B,Free,3000000
2044,A,Photo,2
2045,B,Python,15
2046,C,Book,13
2047,B,Sony,3
2048,B,Openmpi,37298
2049,B,Free,15
2050,B,Free,13
2051,A,Photo,12
2052,-,Fantacy,4
2053,-,Camera,14
2054,B,Doll,2
2055,A,Fantacy,12
2056,C,Python,3000000
2057,-,Photo,8
2058,A,Book,66351737
2059,C,Free,1
2060,C,Photo,6
2061,A,Camera,6
2062,N,Python,2
2063,N,Sony,4
2064,-,Apple,3
2065,C,Python,66351737
2066,N,Photo,12
2067,N,Photo,37298
2068,C,Fantacy,11
2069,A,Camera,10
2070,-,Sony,14
2071,N,Fantacy,3000000
2072,A,Camera,9
2073,-,Python,37298
2074,C,Camera,4
2075,B,Doll,12
2076,C,Fantacy,37298
2077,-,Apple,10
2078,A,Openmpi,66351737
2079,A,Doll,6
2080,C,Book,10
2081,B,Book,3000000
2082,C,Python,15
2083,B,Doll,13
2084,N,Doll,14
2085,N,Book,3
2086,N,Fantacy,66351737
2087,B,Book,8
2088,A,Sony,2
2089,N,Photo,66351737
2090,B,Camera,66351737
2091,A,Book,10
2092,-,Python,14
2093,A,Doll,14
2094,B,Photo,5
2095,-,Fantacy,7
2096,C,Doll,15
2097,B,Photo,10
2098,C,Sony,1092109
2099,C,Free,1
2100,N,Sony,2
2101,C,Python,37298
2102,A,Book,15
2103,C,Book,10
2104,B,Doll,5
2105,A,Sony,12
2106,A,Doll,23912
2107,-,Camera,2
2108,B,Fantacy,15
2109,C,Free,1
2110,A,Book,7
2111,N,Camera,23912
2112,B,Openmpi,11
2113,-,Photo,2
2114,N,Book,3
2115,A,Camera,3000000
2116,B,Book,8
2117,C,Fantacy,2
2118,N,Apple,1092109
2119,-,Openmpi,1
2120,A,Apple,1
2121,C,Openmpi,1092109
2122,N,Book,10
2123,N,Book,14
2124,-,Free,1
2125,A,Book,4
2126,A,Openmpi,37298
2127,N,Sony,15
2128,A,Doll,15
2129,A,Camera,11
2130,N,Sony,8
2131,A,Python,13
2132,C,Python,12
2133,C,Book,9
2134,B,Photo,66351737
2135,A,Apple,12
2136,N,Free,3000000
2137,B,Python,3000000
2138,N,Photo,8
2139,A,Sony,3000000
2140,A,Book,2
2141,C,Camera,14
2142,B,Free,1
2143,B,Free,1
2144,N,Apple,10
2145,A,Book,6
2146,N,Free,14
2147,-,Book,10
2148,C,Photo,3000000
2149,B,Free,1092109
2150,N,Photo,3
2151,N,Python,14
2152,B,Photo,13
2153,A,Book,37298
2154,C,Free,15
2155,B,Apple,37298
2156,B,Apple,8
2157,C,Sony,14
2158,B,Fantacy,10
2159,B,Sony,1092109
2160,-,Camera,37298
2161,A,Sony,4
2162,B,Python,12
2163,A,Doll,10
2164,A,Camera,23912
2165,A,Openmpi,37298
2166,-,Camera,1
2167,A,Photo,3000000
2168,-,Book,15
2169,C,Apple,1092109
2170,B,Openmpi,11
2171,A,Fantacy,14
2172,N,Sony,4
2173,-,Photo,3
2174,B,Apple,7
2175,B,Camera,6
2176,C,Python,8
2177,C,Openmpi,7
2178,-,Openmpi,37298
2179,A,Doll,3
2180,C,Python,8
2181,-,Book,4
2182,C,Apple,10
2183,-,Python,9
2184,C,Free,11
2185,-,Sony,5
2186,C,Photo,4
2187,C,Photo,6
2188,-,Fantacy,9
2189,C,Fantacy,66351737
2190,A,Fantacy,66351737
2191,-,Openmpi,7
2192,N,Photo,13
2193,C,Sony,5
2194,A,Python,15
2195,N,Python,12
2196,-,Doll,14
2197,B,Sony,10
2198,-,Doll,12
2199,-,Apple,5
2200,A,Sony,3
2201,N,Openmpi,1092109
2202,C,Book,37298
2203,B,Doll,4
2204,-,Sony,10
2205,C,Openmpi,14
2206,N,Fantacy,37298
2207,C,Openmpi,3000000
2208,A,Doll,3
2209,C,Python,2
2210,B,Doll,3000000
2211,A,Apple,11
2212,N,Free,13
2213,C,Photo,7
2214,A,Doll,8
2215,C,Camera,12
2216,N,Fantacy,5
2217,-,Book,9
2218,C,Free,6
2219,-,Apple,6
2220,C,Doll,66351737
2221,B,Camera,8
2222,N,Sony,4
2223,B,Apple,37298
2224,N,Camera,8
2225,N,Free,1092109
2226,B,Fantacy,2
2227,B,Book,13
2228,B,Apple,4
2229,N,Openmpi,3
2230,B,Sony,13
2231,-,Fantacy,1092109
2232,N,Free,14
2233,B,Openmpi,14
2234,N,Photo,15
2235,B,Camera,8
2236,C,Fantacy,14
2237,B,Free,10
2238,B,Python,6
2239,-,Openmpi,2
2240,C,Free,15
2241,A,Apple,4
2242,C,Photo,13
2243,B,Fantacy,2
2244,N,Book,11
2245,B,Fantacy,1
2246,B,Photo,11
2247,B,Fantacy,11
2248,C,Free,13
2249,-,Camera,23912
2250,A,Doll,11
2251,A,Photo,6
2252,C,Openmpi,2
2253,B,Openmpi,10
2254,B,Photo,37298
2255,-,Doll,3000000
2256,-,Camera,8
2257,C,Openmpi,1
2258,-,Apple,5
2259,-,Camera,9
2260,A,Doll,37298
2261,B,Camera,15
2262,-,Sony,9
2263,B,Doll,3
2264,C,Photo,12
2265,B,Python,15
2266,B,Openmpi,23912
2267,C,Doll,4
2268,N,Photo,14
2269,N,Book,6
2270,N,Python,23912
2271,-,Photo,13
2272,-,Photo,9
2273,B,Apple,37298
2274,B,Photo,11
2275,C,Camera,11
2276,A,Doll,23912
2277,-,Python,7
2278,N,Camera,1092109
2279,-,Sony,9
2280,C,Doll,3000000
2281,C,Apple,11
2282,-,Camera,23912
2283,C,Doll,12
2284,C,Openmpi,66351737
2285,B,Camera,15
2286,B,Book,1
2287,A,Doll,11
2288,A,Photo,7
2289,C,Sony,2
2290,B,Doll,4
2291,C,Camera,37298
2292,N,Book,37298
2293,A,Apple,15
2294,-,Apple,5
2295,B,Doll,1
2296,A,Camera,13
2297,N,Sony,15
2298,C,Sony,66351737
2299,B,Apple,66351737
2300,C,Doll,1
2301,C,Book,14
2302,-,Python,5
2303,-,Book,12
2304,-,Camera,37298
2305,A,Free,4
2306,C,Photo,9
2307,B,Camera,9
2308,B,Openmpi,3
2309,C,Photo,6
2310,-,Apple,15
2311,B,Doll,15
2312,-,Camera,1
2313,A,Fantacy,7
2314,B,Camera,5
2315,C,Book,1092109
2316,C,Photo,14
2317,-,Doll,8
2318,B,Book,12
2319,C,Apple,1092109
2320,C,Openmpi,37298
2321,C,Book,12
2322,A,Doll,37298
2323,C,Doll,12
2324,B,Doll,1
2325,B,Sony,6
2326,C,Apple,9
2327,A,Sony,9
2328,A,Python,5
2329,-,Free,14
2330,C,Apple,66351737
2331,B,Free,1092109
2332,A,Sony,8
2333,N,Camera,7
2334,A,Photo,8
2335,C,Fantacy,5
2336,N,Apple,4
2337,A,Sony,8
2338,-,Openmpi,13
2339,B,Free,6
2340,-,Free,15
2341,C,Sony,11
2342,B,Fantacy,66351737
2343,C,Sony,2
2344,C,Camera,1092109
2345,B,Sony,7
2346,C,Free,3
2347,B,Fantacy,1
2348,C,Python,7
2349,N,Photo,66351737
2350,-,Python,2
2351,C,Openmpi,10
2352,B,Book,1092109
2353,-,Doll,13
2354,A,Camera,13
2355,A,Photo,2
2356,-,Fantacy,1092109
2357,N,Camera,9
2358,-,Free,3000000
2359,C,Apple,3000000
2360,N,Photo,2
2361,A,Fantacy,8
2362,N,Sony,12
2363,-,Photo,37298
2364,-,Sony,7
2365,N,Fantacy,3
2366,A,Openmpi,66351737
2367,-,Free,6
2368,C,Book,8
2369,N,Book,5
2370,B,Fantacy,10
2371,A,Free,7
2372,B,Book,3000000
2373,N,Python,1
2374,N,Sony,15
2375,C,Book,2
2376,C,Book,13
2377,N,Book,1
2378,B,Free,14
2379,C,Free,23912
2380,N,Fantacy,15
2381,B,Apple,13
2382,C,Photo,11
2383,A,Camera,13
2384,-,Sony,8
2385,A,Openmpi,9
2386,-,Openmpi,7
2387,A,Photo,8
2388,C,Camera,10
2389,C,Fantacy,1092109
2390,B,Photo,4
2391,N,Free,66351737
2392,A,Python,23912
2393,C,Openmpi,3000000
2394,-,Photo,8
2395,A,Free,9
2396,C,Photo,5
2397,-,Openmpi,2
2398,B,Free,4
2399,A,Apple,13
2400,B,Doll,23912
2401,A,Free,3
2402,-,Camera,14
2403,N,Sony,1092109
2404,N,Doll,11
2405,A,Camera,15
2406,N,Photo,13
2407,B,Apple,23912
2408,C,Openmpi,2
2409,N,Apple,37298
2410,B,Fantacy,7
2411,-,Openmpi,37298
2412,B,Free,3000000
2413,A,Sony,5
2414,-,Openmpi,23912
2415,C,Apple,4
2416,B,Sony,12
2417,N,Book,12
2418,A,Python,8
2419,C,Apple,23912
2420,-,Fantacy,6
2421,-,Camera,14
2422,C,Camera,5
2423,C,Openmpi,9
2424,A,Photo,37298
2425,-,Apple,37298
2426,-,Doll,6
2427,B,Book,12
2428,C,Book,4
2429,C,Book,6
2430,C,Apple,23912
2431,C,Free,3
2432,C,Doll,9
2433,-,Book,10
2434,B,Sony,13
2435,C,Camera,11
2436,-,Free,10
2437,A,Apple,14
2438,-,Openmpi,66351737
2439,A,Free,2
2440,B,Camera,11
2441,N,Openmpi,15
2442,B,Apple,4
2443,N,Camera,2
2444,C,Camera,14
2445,A,Fantacy,9
2446,A,Python,3
2447,C,Doll,14
2448,B,Python,12
2449,A,Fantacy,23912
2450,-,Camera,5
2451,C,Doll,66351737
2452,B,Openmpi,5
2453,N,Openmpi,66351737
2454,B,Free,12
2455,B,Python,6
2456,-,Book,14
2457,B,Sony,6
2458,-,Apple,1
2459,N,Photo,5
2460,N,Photo,3
2461,B,Free,6
2462,-,Python,14
2463,A,Free,5
2464,-,Sony,6
2465,A,Book,6
2466,C,Book,3000000
2467,B,Camera,37298
2468,B,Python,7
2469,-,Free,8
2470,B,Book,9
2471,N,Camera,37298
2472,-,Camera,23912
2473,B,Openmpi,11
2474,A,Doll,13
2475,C,Camera,4
2476,B,Camera,3000000
2477,A,Photo,66351737
2478,N,Photo,5
2479,C,Free,14
2480,-,Python,11
2481,A,Python,13
2482,A,Camera,15
2483,A,Free,7
2484,N,Python,23912
2485,N,Openmpi,2
2486,B,Photo,5
2487,N,Free,5
2488,-,Fantacy,37298
2489,-,Doll,11
2490,B,Fantacy,1
2491,-,Photo,5
2492,B,Free,8
2493,A,Photo,1
2494,A,Book,23912
2495,-,Apple,13
2496,A,Apple,2
2497,C,Fantacy,5
2498,C,Python,8
2499,N,Apple,23912
2500,B,Camera,66351737
2501,-,Openmpi,7
2502,B,Openmpi,2
2503,-,Python,6
2504,C,Fantacy,6
2505,A,Fantacy,23912
2506,B,Sony,14
2507,B,Sony,11
2508,C,Book,66351737
2509,C,Doll,37298
2510,A,Fantacy,6
2511,A,Photo,11
2512,N,Doll,23912
2513,-,Photo,1
2514,A,Photo,37298
2515,C,Openmpi,5
2516,B,Doll,15
2517,N,Free,4
2518,N,Fantacy,7
2519,B,Free,1092109
2520,C,Book,1
2521,N,Python,1092109
2522,B,Camera,10
2523,B,Free,9
2524,-,Photo,5
2525,A,Book,8
2526,N,Book,7
2527,-,Free,11
